Repeticao;Soma;Voto Majoritario;Borda Count
1;0.8528;0.8648;0.864
2;0.8544;0.864;0.8648
3;0.8664;0.8624;0.8632
4;0.8488;0.848;0.848
5;0.8512;0.8552;0.8552
6;0.8592;0.864;0.864
7;0.8488;0.8576;0.8576
8;0.8768;0.8744;0.8744
9;0.8496;0.844;0.8432
10;0.8608;0.868;0.8664
11;0.8608;0.8584;0.8584
12;0.8704;0.868;0.868
13;0.8512;0.86;0.8608
14;0.8576;0.8584;0.8584
15;0.8496;0.8488;0.848
16;0.8624;0.8648;0.864
17;0.8528;0.8608;0.8608
18;0.856;0.8568;0.8584
19;0.86;0.8616;0.8632
20;0.8568;0.86;0.86
Média;0.85732;0.86;0.8600399999999999
