;KNN;Árvore de Decisão;Naive Bayes;SVM;MLP
0;0.8528;0.7584;0.8208;0.8672;0.8696
1;0.8544;0.7544;0.8096;0.8528;0.8504
2;0.8496;0.7704;0.8144;0.8648;0.8616
3;0.8472;0.768;0.8088;0.8536;0.8152
4;0.8416;0.7536;0.8072;0.856;0.8592
5;0.844;0.7528;0.8048;0.8696;0.8528
6;0.8544;0.7584;0.8088;0.8584;0.8656
7;0.8664;0.776;0.8312;0.876;0.868
8;0.8384;0.7536;0.8;0.8536;0.8552
9;0.8592;0.7672;0.8032;0.8696;0.8672
10;0.852;0.7512;0.816;0.868;0.8408
11;0.84;0.7784;0.8128;0.8768;0.8704
12;0.8488;0.7552;0.8072;0.8696;0.8632
13;0.844;0.7576;0.8048;0.8624;0.856
14;0.8304;0.7344;0.788;0.8568;0.8664
15;0.8384;0.7384;0.8112;0.8672;0.8616
16;0.8472;0.7624;0.8056;0.868;0.864
17;0.8416;0.7608;0.8048;0.8656;0.864
18;0.8488;0.7544;0.8136;0.8736;0.872
19;0.8432;0.7736;0.8144;0.8648;0.8632
Média;0.84712;0.75896;0.80936;0.86472;0.85932
